Wavelength[nm],T% at AOI 0 deg
536.5,-7.12E-05
536,0.0001592760818
535.5,6.83E-05
535,0.0001541447273
534.5,3.25E-05
534,0.0001211212075
533.5,-6.64E-06
533,6.26E-05
532.5,0.0002468763269
532,-0.0002575768449
531.5,7.23E-05
531,0.0001037188122
530.5,0.0002139751596
530,0.0001922703814
529.5,0.0003979952889
529,4.42E-05
528.5,0.0001490861177
528,5.52E-05
527.5,0.0001524923136
527,0.0001631772757
526.5,0.0003333058266
526,0.0001847391832
525.5,0.0001743851899
525,0.0002515467058
524.5,0.0002641133033
524,0.0001701475849
523.5,0.0001705867762
523,0.0002164424513
522.5,0.0001029032283
522,1.93E-05
521.5,0.0001564827107
521,0.00033531402
520.5,6.29E-05
520,8.43E-05
519.5,2.09E-05
519,1.36E-07
518.5,4.35E-05
518,-1.26E-05
517.5,0.0002536376705
517,0.0001702031877
516.5,0.0002886549046
516,0.0001897089242
515.5,0.0002702661732
515,0.0001626329176
514.5,0.0001426622766
514,0.0002054659708
513.5,0.0001757401333
513,-3.70E-05
512.5,5.21E-05
512,-2.03E-05
511.5,0.0002140071883
511,0.000115976829
510.5,-3.95E-05
510,9.42E-05
509.5,0.0001063527598
509,-1.94E-05
508.5,-4.01E-05
508,0.0001992662146
507.5,8.54E-05
507,0.0002471168991
506.5,8.85E-05
506,2.53E-05
505.5,1.08E-05
505,-5.55E-05
504.5,1.54E-05
504,-2.12E-06
503.5,-0.0001407652453
503,-0.0001618838432
502.5,-4.20E-05
502,0.000146860868
501.5,6.80E-05
501,4.88E-05
500.5,0.0001144098424
500,-5.58E-05
499.5,1.20E-05
499,-7.34E-05
498.5,-7.70E-05
498,-5.88E-05
497.5,-3.22E-05
497,-0.0001319220755
496.5,-5.80E-06
496,0.0002743051737
495.5,0.0002149091888
495,0.0002145238104
494.5,6.66E-05
494,0.0002434324124
493.5,1.17E-05
493,0.0001011155764
492.5,0.0003283667029
492,3.15E-06
491.5,4.48E-05
491,6.69E-05
490.5,-0.0001344975171
490,-8.56E-05
489.5,0.0001053103915
489,0.0001138431035
488.5,-6.50E-05
488,-5.36E-05
487.5,5.96E-05
487,1.87E-05
486.5,0.0001118215441
486,3.34E-06
485.5,-8.29E-06
485,-1.86E-05
484.5,-7.11E-05
484,-2.06E-06
483.5,-6.91E-05
483,0.0002124824678
482.5,-1.78E-05
482,-7.15E-05
481.5,-7.19E-05
481,1.14E-06
480.5,0.0001594943169
480,-8.16E-05
479.5,0.0001562985126
479,0.000164904166
478.5,6.77E-05
478,-8.13E-05
477.5,-5.14E-05
477,7.80E-05
476.5,0.0001547048741
476,-1.96E-05
475.5,0.0001024749727
475,-3.74E-05
474.5,-0.0002245369833
474,3.01E-05
473.5,4.31E-06
473,0.0001851286797
472.5,-0.0001221339189
472,-2.09E-05
471.5,6.03E-05
471,0.0002219224843
470.5,1.45E-05
470,4.87E-05
469.5,0.0002673746494
469,-0.0001980097004
468.5,-0.000154940717
468,-0.0001721257577
467.5,0.0001829089888
467,9.12E-05
466.5,0.0001086288685
466,-7.08E-05
465.5,8.98E-05
465,0.0001319367002
464.5,6.26E-05
464,-0.0001191462725
463.5,-0.0002888300223
463,-0.0002862462134
462.5,-0.0001331730164
462,-4.61E-05
461.5,0.0001787823712
461,0.0001245233434
460.5,0.0001534623443
460,-0.0001586661965
459.5,0.0002030475152
459,-4.45E-05
458.5,8.13E-05
458,9.52E-05
457.5,-7.74E-05
457,-5.11E-05
456.5,0.0001275471586
456,8.06E-05
455.5,2.91E-05
455,2.84E-05
454.5,0.0001244637679
454,-0.0001311213709
453.5,3.56E-05
453,7.11E-05
452.5,1.58E-05
452,1.60E-05
451.5,6.76E-06
451,3.63E-05
450.5,3.11E-05
450,0.0001472334552
449.5,0.0001348014193
449,0.0001748012
448.5,6.36E-05
448,-0.0001768249349
447.5,0.0001182370252
447,-8.14E-05
446.5,0.0001902372605
446,0.0001400787005
445.5,0.0001579736709
445,-1.20E-05
444.5,0.000187564845
444,0.0001591973851
443.5,7.70E-05
443,0.0001978159853
442.5,0.0001935244945
442,7.67E-05
441.5,0.0002071978815
441,0.0002563016897
440.5,0.0004809896927
440,4.01E-05
439.5,0.000258160173
439,8.25E-05
438.5,8.60E-05
438,4.65E-05
437.5,2.68E-05
437,-8.86E-05
436.5,-4.11E-05
436,0.0001944702526
435.5,0.0003331176995
435,0.0002034012141
434.5,0.00031288233
434,0.0004235473752
433.5,0.0003726214927
433,0.0004102234379
432.5,0.0005029525491
432,0.0005926773883
431.5,0.00059673551
431,0.0008503900026
430.5,0.00078980939
430,0.0005776553298
429.5,0.0003347070888
429,0.0004101343511
428.5,0.0003086786019
428,0.0003528123198
427.5,0.0001625641453
427,0.0001800765458
426.5,0.0001526052365
426,0.0002799691283
425.5,0.0002675216238
425,-5.09E-05
424.5,0.0002845545241
424,2.08E-05
423.5,-5.57E-05
423,-0.0001281805889
422.5,7.24E-05
422,-7.65E-05
421.5,0.0001193180869
421,-5.68E-06
420.5,-0.0001522946986
420,5.25E-05
419.5,5.32E-05
419,8.76E-05
418.5,-2.33E-05
418,0.0001954389445
417.5,-0.0001306868508
417,7.90E-05
416.5,0.0002458203817
416,0.0002630148956
415.5,0.0006387721514
415,0.0006942590699
414.5,0.001002616715
414,0.001119042747
